file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,speaker1,-46.927767557289606,-47.97910843601933,4.119431330785889,8.191358711646952
F2BJRLP2,0.0,28.6474375,speaker1,-46.548342059336825,-47.59348144290575,4.089632948817761,7.722451356842205
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,speaker1,-44.58636537532217,-48.65973940762606,4.082212447789893,12.422107757688021
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,speaker1,-44.22016873486683,-48.42247566810021,3.5081854232023857,11.13029074707532
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,speaker1,-45.24368489583333,-50.800950857309196,3.3985019965269996,11.42655312425563
F2BJRLP3,0.0,30.7068125,speaker1,-46.96710151416477,-48.37451800307787,3.233912093405278,10.381692180894614
